source,target,relationship
data_quality_command_center,DP-001,emits_signal_for
data_quality_command_center,DP-002,emits_signal_for
data_quality_command_center,DP-003,emits_signal_for
data_quality_command_center,DP-004,emits_signal_for
data_quality_command_center,DP-005,emits_signal_for
data_quality_command_center,DP-006,emits_signal_for
data_quality_command_center,DP-007,emits_signal_for
data_quality_command_center,DP-008,emits_signal_for
data_quality_command_center,DP-009,emits_signal_for
data_quality_command_center,DP-010,emits_signal_for
data_quality_command_center,DP-011,emits_signal_for
data_quality_command_center,DP-012,emits_signal_for
enterprise_rag_evaluation_lab,DP-001,emits_signal_for
enterprise_rag_evaluation_lab,DP-002,emits_signal_for
enterprise_rag_evaluation_lab,DP-003,emits_signal_for
enterprise_rag_evaluation_lab,DP-004,emits_signal_for
enterprise_rag_evaluation_lab,DP-005,emits_signal_for
enterprise_rag_evaluation_lab,DP-006,emits_signal_for
enterprise_rag_evaluation_lab,DP-007,emits_signal_for
enterprise_rag_evaluation_lab,DP-008,emits_signal_for
enterprise_rag_evaluation_lab,DP-009,emits_signal_for
enterprise_rag_evaluation_lab,DP-010,emits_signal_for
enterprise_rag_evaluation_lab,DP-011,emits_signal_for
enterprise_rag_evaluation_lab,DP-012,emits_signal_for
payments_fraud_feature_store_mlops,DP-001,emits_signal_for
payments_fraud_feature_store_mlops,DP-002,emits_signal_for
payments_fraud_feature_store_mlops,DP-003,emits_signal_for
payments_fraud_feature_store_mlops,DP-004,emits_signal_for
payments_fraud_feature_store_mlops,DP-005,emits_signal_for
payments_fraud_feature_store_mlops,DP-006,emits_signal_for
payments_fraud_feature_store_mlops,DP-007,emits_signal_for
payments_fraud_feature_store_mlops,DP-008,emits_signal_for
payments_fraud_feature_store_mlops,DP-009,emits_signal_for
payments_fraud_feature_store_mlops,DP-010,emits_signal_for
payments_fraud_feature_store_mlops,DP-011,emits_signal_for
payments_fraud_feature_store_mlops,DP-012,emits_signal_for
pipeline_reliability_incident_lab,DP-001,emits_signal_for
pipeline_reliability_incident_lab,DP-002,emits_signal_for
pipeline_reliability_incident_lab,DP-003,emits_signal_for
pipeline_reliability_incident_lab,DP-004,emits_signal_for
pipeline_reliability_incident_lab,DP-005,emits_signal_for
pipeline_reliability_incident_lab,DP-006,emits_signal_for
pipeline_reliability_incident_lab,DP-007,emits_signal_for
pipeline_reliability_incident_lab,DP-008,emits_signal_for
pipeline_reliability_incident_lab,DP-009,emits_signal_for
pipeline_reliability_incident_lab,DP-010,emits_signal_for
pipeline_reliability_incident_lab,DP-011,emits_signal_for
pipeline_reliability_incident_lab,DP-012,emits_signal_for
semantic_metrics_trust_layer,DP-001,emits_signal_for
semantic_metrics_trust_layer,DP-002,emits_signal_for
semantic_metrics_trust_layer,DP-003,emits_signal_for
semantic_metrics_trust_layer,DP-004,emits_signal_for
semantic_metrics_trust_layer,DP-005,emits_signal_for
semantic_metrics_trust_layer,DP-006,emits_signal_for
semantic_metrics_trust_layer,DP-007,emits_signal_for
semantic_metrics_trust_layer,DP-008,emits_signal_for
semantic_metrics_trust_layer,DP-009,emits_signal_for
semantic_metrics_trust_layer,DP-010,emits_signal_for
semantic_metrics_trust_layer,DP-011,emits_signal_for
semantic_metrics_trust_layer,DP-012,emits_signal_for
ai_data_governance_gateway,DP-001,emits_signal_for
ai_data_governance_gateway,DP-002,emits_signal_for
ai_data_governance_gateway,DP-003,emits_signal_for
ai_data_governance_gateway,DP-004,emits_signal_for
ai_data_governance_gateway,DP-005,emits_signal_for
ai_data_governance_gateway,DP-006,emits_signal_for
ai_data_governance_gateway,DP-007,emits_signal_for
ai_data_governance_gateway,DP-008,emits_signal_for
ai_data_governance_gateway,DP-009,emits_signal_for
ai_data_governance_gateway,DP-010,emits_signal_for
ai_data_governance_gateway,DP-011,emits_signal_for
ai_data_governance_gateway,DP-012,emits_signal_for
INC-001,DP-008,impacts
INC-002,DP-005,impacts
INC-003,DP-003,impacts
INC-004,DP-012,impacts
INC-005,DP-009,impacts
INC-006,DP-007,impacts
INC-007,DP-008,impacts
INC-008,DP-004,impacts
