signal_id,system_name,data_product_id,metric_name,metric_value,threshold,status,severity,measured_at,owner,recommended_action,name,domain,business_criticality
SIG-00052,enterprise_rag_evaluation_lab,DP-001,rag_trust_score,64.51,75,degraded,high,2026-05-20T21:21:43.491468+00:00,Customer Platform,Investigate and remediate.,customer_360,customer,critical
SIG-00056,enterprise_rag_evaluation_lab,DP-002,rag_trust_score,99.94,75,healthy,low,2026-05-20T21:21:43.491492+00:00,Finance Analytics,Monitor.,revenue_metrics,finance,critical
SIG-00060,enterprise_rag_evaluation_lab,DP-003,rag_trust_score,83.95,75,watch,medium,2026-05-20T21:21:43.491516+00:00,Fraud MLOps,Monitor.,fraud_detection_features,risk,critical
SIG-00064,enterprise_rag_evaluation_lab,DP-004,rag_trust_score,76.45,75,watch,medium,2026-05-20T21:21:43.491554+00:00,Payments Risk,Monitor.,payment_risk_scoring,risk,critical
SIG-00068,enterprise_rag_evaluation_lab,DP-005,rag_trust_score,70.97,75,watch,medium,2026-05-20T21:21:43.491576+00:00,GenAI Platform,Monitor.,enterprise_rag_search,ai_platform,high
SIG-00072,enterprise_rag_evaluation_lab,DP-006,rag_trust_score,83.9,75,watch,medium,2026-05-20T21:21:43.491598+00:00,Support Analytics,Monitor.,support_intelligence,operations,high
SIG-00076,enterprise_rag_evaluation_lab,DP-007,rag_trust_score,77.64,75,watch,medium,2026-05-20T21:21:43.491622+00:00,AI Governance,Monitor.,ai_governance_gateway,governance,critical
SIG-00080,enterprise_rag_evaluation_lab,DP-008,rag_trust_score,82.15,75,watch,medium,2026-05-20T21:21:43.491645+00:00,Analytics Engineering,Monitor.,semantic_metrics_layer,governance,critical
SIG-00084,enterprise_rag_evaluation_lab,DP-009,rag_trust_score,76.92,75,watch,medium,2026-05-20T21:21:43.491669+00:00,Data Quality,Monitor.,data_quality_certification,governance,critical
SIG-00088,enterprise_rag_evaluation_lab,DP-010,rag_trust_score,70.03,75,watch,medium,2026-05-20T21:21:43.491689+00:00,Data Platform,Monitor.,pipeline_reliability_monitoring,operations,critical
SIG-00092,enterprise_rag_evaluation_lab,DP-011,rag_trust_score,77.72,75,watch,medium,2026-05-20T21:21:43.491713+00:00,Supply Chain Analytics,Monitor.,supply_chain_risk_monitoring,operations,medium
SIG-00096,enterprise_rag_evaluation_lab,DP-012,rag_trust_score,77.93,75,watch,medium,2026-05-20T21:21:43.491736+00:00,Executive Analytics,Monitor.,executive_reporting_mart,executive,critical
SIG-00193,semantic_metrics_trust_layer,DP-001,semantic_trust_score,71.88,75,watch,medium,2026-05-20T21:21:43.495146+00:00,Customer Platform,Monitor.,customer_360,customer,critical
SIG-00194,semantic_metrics_trust_layer,DP-001,metric_conflicts,8.19,75,healthy,low,2026-05-20T21:21:43.495154+00:00,Customer Platform,Monitor.,customer_360,customer,critical
SIG-00197,semantic_metrics_trust_layer,DP-002,semantic_trust_score,66.08,75,degraded,high,2026-05-20T21:21:43.495174+00:00,Finance Analytics,Investigate and remediate.,revenue_metrics,finance,critical
SIG-00198,semantic_metrics_trust_layer,DP-002,metric_conflicts,15.28,75,healthy,low,2026-05-20T21:21:43.495182+00:00,Finance Analytics,Monitor.,revenue_metrics,finance,critical
SIG-00201,semantic_metrics_trust_layer,DP-003,semantic_trust_score,88.46,75,healthy,low,2026-05-20T21:21:43.495201+00:00,Fraud MLOps,Monitor.,fraud_detection_features,risk,critical
