signal_id,system_name,data_product_id,metric_name,metric_value,threshold,status,severity,measured_at,owner,recommended_action
SIG-00241,ai_data_governance_gateway,DP-001,governance_risk_score,24.0,75,healthy,low,2026-05-20T21:21:43.496268+00:00,Customer Platform,Monitor.
SIG-00242,ai_data_governance_gateway,DP-001,policy_violations,29.7,75,watch,medium,2026-05-20T21:21:43.496275+00:00,Customer Platform,Monitor.
SIG-00243,ai_data_governance_gateway,DP-001,least_privilege_score,80.83,75,watch,medium,2026-05-20T21:21:43.496281+00:00,Customer Platform,Monitor.
SIG-00244,ai_data_governance_gateway,DP-001,blocked_request_rate,100.0,75,healthy,low,2026-05-20T21:21:43.496286+00:00,Customer Platform,Monitor.
SIG-00245,ai_data_governance_gateway,DP-002,governance_risk_score,30.95,75,watch,medium,2026-05-20T21:21:43.496296+00:00,Finance Analytics,Monitor.
SIG-00246,ai_data_governance_gateway,DP-002,policy_violations,3.98,75,healthy,low,2026-05-20T21:21:43.496301+00:00,Finance Analytics,Monitor.
SIG-00247,ai_data_governance_gateway,DP-002,least_privilege_score,96.29,75,healthy,low,2026-05-20T21:21:43.496306+00:00,Finance Analytics,Monitor.
SIG-00248,ai_data_governance_gateway,DP-002,blocked_request_rate,85.15,75,healthy,low,2026-05-20T21:21:43.496311+00:00,Finance Analytics,Monitor.
SIG-00249,ai_data_governance_gateway,DP-003,governance_risk_score,0.0,75,healthy,low,2026-05-20T21:21:43.496316+00:00,Fraud MLOps,Monitor.
SIG-00250,ai_data_governance_gateway,DP-003,policy_violations,32.18,75,watch,medium,2026-05-20T21:21:43.496322+00:00,Fraud MLOps,Monitor.
SIG-00251,ai_data_governance_gateway,DP-003,least_privilege_score,68.67,75,degraded,high,2026-05-20T21:21:43.496326+00:00,Fraud MLOps,Investigate and remediate.
SIG-00252,ai_data_governance_gateway,DP-003,blocked_request_rate,76.34,75,watch,medium,2026-05-20T21:21:43.496331+00:00,Fraud MLOps,Monitor.
SIG-00253,ai_data_governance_gateway,DP-004,governance_risk_score,24.94,75,healthy,low,2026-05-20T21:21:43.496336+00:00,Payments Risk,Monitor.
SIG-00254,ai_data_governance_gateway,DP-004,policy_violations,22.14,75,healthy,low,2026-05-20T21:21:43.496341+00:00,Payments Risk,Monitor.
SIG-00255,ai_data_governance_gateway,DP-004,least_privilege_score,78.98,75,watch,medium,2026-05-20T21:21:43.496348+00:00,Payments Risk,Monitor.
SIG-00256,ai_data_governance_gateway,DP-004,blocked_request_rate,83.83,75,watch,medium,2026-05-20T21:21:43.496353+00:00,Payments Risk,Monitor.
SIG-00257,ai_data_governance_gateway,DP-005,governance_risk_score,0.0,75,healthy,low,2026-05-20T21:21:43.496359+00:00,GenAI Platform,Monitor.
SIG-00258,ai_data_governance_gateway,DP-005,policy_violations,27.18,75,watch,medium,2026-05-20T21:21:43.496364+00:00,GenAI Platform,Monitor.
SIG-00259,ai_data_governance_gateway,DP-005,least_privilege_score,85.55,75,healthy,low,2026-05-20T21:21:43.496368+00:00,GenAI Platform,Monitor.
SIG-00260,ai_data_governance_gateway,DP-005,blocked_request_rate,77.54,75,watch,medium,2026-05-20T21:21:43.496373+00:00,GenAI Platform,Monitor.
SIG-00261,ai_data_governance_gateway,DP-006,governance_risk_score,29.9,75,watch,medium,2026-05-20T21:21:43.496378+00:00,Support Analytics,Monitor.
SIG-00262,ai_data_governance_gateway,DP-006,policy_violations,0.0,75,healthy,low,2026-05-20T21:21:43.496383+00:00,Support Analytics,Monitor.
